CC_1,CC_2,CC_3,CC_4,eggs
615.531,615.531,615.531,615.531,150
621.612,621.612,621.612,621.612,150
640.901,640.901,640.901,640.901,150
548.876,548.876,548.876,548.876,150
590.674,590.674,590.674,590.674,150
552.002,552.002,552.002,552.002,150
614.592,614.592,614.592,614.592,150
629.959,629.959,629.959,629.959,150
580.648,580.648,580.648,580.648,150
702.999,702.999,702.999,702.999,150
633.496,633.496,633.496,633.496,150
613.973,613.973,613.973,613.973,150
568.545,568.545,568.545,568.545,150
567.694,567.694,567.694,567.694,150
601.124,601.124,601.124,601.124,150
614.92,614.92,614.92,614.92,150
558.806,558.806,558.806,558.806,150
543.816,543.816,543.816,543.816,150
593.237,593.237,593.237,593.237,150
553.345,553.345,553.345,553.345,150
634.411,634.411,634.411,634.411,150
580.977,580.977,580.977,580.977,150
706.653,706.653,706.653,706.653,150
639.526,639.526,639.526,639.526,150
678.858,678.858,678.858,678.858,150
584.344,584.344,584.344,584.344,150
533.479,533.479,533.479,533.479,150
579.95,579.95,579.95,579.95,150
676.605,676.605,676.605,676.605,150
579.576,579.576,579.576,579.576,150
627.821,627.821,627.821,627.821,150
554.65,554.65,554.65,554.65,150
566.412,566.412,566.412,566.412,150
706.144,706.144,706.144,706.144,150
785.859,785.859,785.859,785.859,150
675.743,675.743,675.743,675.743,150
634.727,634.727,634.727,634.727,150
590.512,590.512,590.512,590.512,150
694.925,694.925,694.925,694.925,150
592.685,592.685,592.685,592.685,150
640.325,640.325,640.325,640.325,150
611.154,611.154,611.154,611.154,150
587.599,587.599,587.599,587.599,150
649.535,649.535,649.535,649.535,150
688.676,688.676,688.676,688.676,150
675.497,675.497,675.497,675.497,150
581.55,581.55,581.55,581.55,150
633.675,633.675,633.675,633.675,150
655.95,655.95,655.95,655.95,150
565.949,565.949,565.949,565.949,150
625.628,625.628,625.628,625.628,150
568.697,568.697,568.697,568.697,150
580.966,580.966,580.966,580.966,150
604.683,604.683,604.683,604.683,150
615.531,615.531,615.531,615.531,150
634.727,634.727,634.727,634.727,150
591.846,591.846,591.846,591.846,150
649.009,649.009,649.009,649.009,150
574.17,574.17,574.17,574.17,150
509.976,509.976,509.976,509.976,150
597.552,597.552,597.552,597.552,150
656.988,656.988,656.988,656.988,150
550.357,550.357,550.357,550.357,150
552.675,552.675,552.675,552.675,150
609.062,609.062,609.062,609.062,150
565.779,565.779,565.779,565.779,150
569.158,569.158,569.158,569.158,150
602.466,602.466,602.466,602.466,150
581.55,581.55,581.55,581.55,150
557.827,557.827,557.827,557.827,150
579.576,579.576,579.576,579.576,150
561.232,561.232,561.232,561.232,150
591.386,591.386,591.386,591.386,150
557.827,557.827,557.827,557.827,150
634.727,634.727,634.727,634.727,150
688.676,688.676,688.676,688.676,150
658.434,658.434,658.434,658.434,150
683.81,683.81,683.81,683.81,150
578.377,578.377,578.377,578.377,150
581.799,581.799,581.799,581.799,150
588.108,588.108,588.108,588.108,150
639.018,639.018,639.018,639.018,150
644.027,644.027,644.027,644.027,150
691.109,691.109,691.109,691.109,150
610.137,610.137,610.137,610.137,150
722.868,722.868,722.868,722.868,150
688.561,688.561,688.561,688.561,150
604.683,604.683,604.683,604.683,150
649.302,649.302,649.302,649.302,150
641.901,641.901,641.901,641.901,150
706.363,706.363,706.363,706.363,150
744.915,744.915,744.915,744.915,150
591.386,591.386,591.386,591.386,150
722.868,722.868,722.868,722.868,150
612.066,612.066,612.066,612.066,150
584.55,584.55,584.55,584.55,150
625.152,625.152,625.152,625.152,150
605.613,605.613,605.613,605.613,150
562.876,562.876,562.876,562.876,150
582.393,582.393,582.393,582.393,150
